[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	cellpower
1.780267	-0.054161	20.99989	0.328229	-0.096421040987
1.800254	-0.053925	20.99992	0.328223	-0.09707869695
1.820237	-0.053681	20.9999	0.328212	-0.097712142397
1.840232	-0.053441	20.9999	0.328224	-0.098343838312
1.860208	-0.053202	20.99989	0.328211	-0.098966786016
1.879857	-0.052954	20.9999	0.328208	-0.099545947578
1.89985	-0.052683	20.99987	0.328208	-0.10008979755
1.919844	-0.052404	20.99989	0.328208	-0.100607504976
1.939834	-0.052137	20.99988	0.328188	-0.101137125258
1.95982	-0.051874	20.99992	0.328194	-0.10166370268
1.979803	-0.051592	20.9999	0.328178	-0.102141996376
1.999791	-0.051296	20.99992	0.328163	-0.102581279136
2.019787	-0.050994	20.9999	0.328146	-0.102997018278
2.039763	-0.050705	20.99992	0.328144	-0.103426182915
2.059664	-0.05041	20.9999	0.328143	-0.10382766224
2.079647	-0.050126	20.99991	0.328142	-0.104244385522
2.099656	-0.049783	20.99991	0.328138	-0.104527174648
2.119642	-0.049434	20.9999	0.32814	-0.104782382628
2.139633	-0.04911	20.99991	0.328137	-0.10507737663
2.15962	-0.048798	20.9999	0.32812	-0.10538513676
2.179598	-0.04847	20.99991	0.328114	-0.10564511506
2.199605	-0.048104	20.9999	0.328128	-0.10580979892
2.219585	-0.047719	20.9999	0.328112	-0.105916376615
2.239601	-0.047391	20.99989	0.328104	-0.106136930991
2.25958	-0.047046	20.9999	0.3281	-0.10630420068
2.279574	-0.046665	20.99989	0.328096	-0.10637632071
2.299551	-0.046267	20.99989	0.328098	-0.106393326117
2.319539	-0.045896	20.9999	0.328085	-0.106457561944
2.339529	-0.045492	20.9999	0.328082	-0.106429853268
2.359512	-0.045104	20.99991	0.328081	-0.106423429248
2.379496	-0.0447	20.99989	0.328066	-0.1063634712
2.399461	-0.044287	20.99987	0.328056	-0.106264929307
2.419468	-0.043861	20.9999	0.32806	-0.106120285948
2.439459	-0.043432	20.99991	0.328055	-0.105950583288
2.459455	-0.042999	20.99989	0.328055	-0.105754105545
2.479435	-0.042562	20.99992	0.328046	-0.10552971247
2.49942	-0.042113	20.9999	0.328031	-0.10525807446
2.519415	-0.041655	20.9999	0.328036	-0.104946231825
2.539403	-0.0412	20.9999	0.328039	-0.1046234036
2.559388	-0.040727	20.99989	0.328036	-0.104236195076
2.579374	-0.040239	20.99987	0.328033	-0.103791430386
2.59938	-0.039751	20.99989	0.328025	-0.10332795438
2.619361	-0.03926	20.9999	0.328009	-0.10283611286
2.639359	-0.038755	20.99987	0.328001	-0.102288358045
2.659345	-0.038256	20.99992	0.328001	-0.10173590232
2.679335	-0.037726	20.9999	0.327995	-0.10108059221
2.699307	-0.037179	20.99989	0.328003	-0.100357534953
2.7193	-0.036636	20.99989	0.327988	-0.0996242748
2.739284	-0.036098	20.99991	0.327988	-0.098882673832
2.759302	-0.035552	20.99991	0.327996	-0.098098704704
2.779317	-0.034992	20.99991	0.327983	-0.097253860464
2.79934	-0.034431	20.99989	0.327977	-0.09638407554
2.819365	-0.033854	20.9999	0.327966	-0.09544678271
2.83938	-0.033248	20.99989	0.327946	-0.09440370624
2.859399	-0.032634	20.99992	0.32797	-0.093313626966
