[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Voltage_2 (1)	Current_2 (1)	logcurrent
2.673708	0.00299	1.199942	5.769228e-010	-5.8124818915795
2.677736	0.003089	1.239691	-5.102989e-010	-5.7799078650457
2.681787	0.00319	1.279652	4.353337e-010	-5.7477343621854
2.685726	0.003289	1.31948	1.572187e-010	-5.7171717117752
2.689665	0.00339	1.359743	-6.316474e-010	-5.6869253575898
2.693499	0.003489	1.400018	6.527603e-010	-5.6581401167775
2.69735	0.00359	1.439551	-2.321539e-010	-5.629603076482
2.701077	0.003689	1.479784	-2.422859e-010	-5.6023998603676
2.704838	0.00379	1.519709	7.336698e-010	-5.5753892598878
2.708466	0.003889	1.559643	-3.282669e-010	-5.5496032238085
2.712137	0.00399	1.599744	-7.539988e-011	-5.5239640480804
2.715704	0.004089	1.639881	5.870252e-010	-5.4994548375996
2.719297	0.00419	1.679538	-6.215398e-010	-5.4750545450481
2.722797	0.004289	1.71993	4.353337e-010	-5.4517016734474
2.72633	0.004389	1.759964	2.634063e-010	-5.428653868276
2.729805	0.00449	1.799722	-5.659141e-010	-5.405902577228
2.733225	0.004589	1.840319	6.679385e-010	-5.3840931435694
2.736647	0.00469	1.879658	-2.169921e-010	-5.3623226965239
2.739986	0.004789	1.920007	-1.512497e-010	-5.3414336576217
2.743359	0.00489	1.959952	6.881516e-010	-5.3205629754954
2.746649	0.004989	2.000328	-4.900912e-010	-5.3005197901032
2.749971	0.00509	2.039636	3.594753e-010	-5.2804774484197
2.753195	0.005189	2.080319	2.735304e-010	-5.2612142785965
2.756454	0.00529	2.120585	-5.558227e-010	-5.2419370331119
2.75964	0.005389	2.160006	5.010699e-010	-5.2233954400308
2.76285	0.00549	2.200015	9.148106e-011	-5.2048270234607
2.765968	0.005589	2.240195	-5.052316e-010	-5.1869548986946
2.769152	0.00569	2.279521	6.325501e-010	-5.1690450308439
2.772224	0.005789	2.320254	-4.90071e-010	-5.1517957138853
2.775345	0.00589	2.359829	-1.360856e-010	-5.1344992813186
2.778387	0.005989	2.400272	6.477326e-010	-5.1178308256998
2.781454	0.006089	2.4403	-7.580757e-010	-5.1012714143557
2.784452	0.006188	2.479915	2.53296e-010	-5.0851433462713
2.787481	0.006289	2.520423	-6.114562e-010	-5.0689532034208
2.79044	0.006388	2.559856	5.667956e-010	-5.0533340486294
2.793425	0.006489	2.600507	-2.321688e-010	-5.0376468433431
2.796341	0.006588	2.640591	-4.597389e-010	-5.0225054666667
2.799307	0.006689	2.680061	7.488347e-010	-5.0072908928459
2.802185	0.006789	2.720043	-3.484721e-010	-4.9924516236626
2.805109	0.006889	2.760105	-3.999971e-011	-4.9778293423711
2.807943	0.006989	2.799987	6.173722e-010	-4.9634177944871
2.810831	0.007089	2.840183	-5.709653e-010	-4.9492109921093
2.81365	0.007189	2.880337	3.999394e-010	-4.9352031989804
2.816484	0.007289	2.920376	2.583517e-010	-4.9213889165821
2.819305	0.00739	2.960104	-6.721413e-010	-4.907627544022
2.822071	0.00749	2.999946	5.566859e-010	-4.894186481453
2.824854	0.00759	3.039899	4.090565e-011	-4.8809236875746
2.827589	0.007689	3.080244	-4.59734e-010	-4.8679645429321
2.830339	0.00779	3.120711	7.235851e-010	-4.8549144190995
2.83304	0.007889	3.160141	-2.675646e-010	-4.8422858948692
2.835773	0.00799	3.199745	-4.504927e-011	-4.829564519204
2.838442	0.008089	3.239707	3.493676e-010	-4.8172501649463
2.841137	0.00819	3.279971	-6.063692e-010	-4.8048413811172
2.843782	0.00829	3.319815	4.454594e-010	-4.7927053098349
2.846455	0.00839	3.359973	-1.967697e-010	-4.780714758503
2.849085	0.00849	3.399797	-3.130627e-010	-4.7688662786589
2.851728	0.00859	3.44007	7.336747e-010	-4.757156542986
2.854315	0.00869	3.479828	-4.243305e-010	-4.7455823397048
2.856951	0.008791	3.519732	4.151026e-010	-4.7340268081131
2.85952	0.00889	3.560068	-6.316474e-010	-4.7228282294563
2.862131	0.00899	3.599884	2.381244e-010	-4.7116424304986
2.864676	0.00909	3.640178	7.640144e-010	-4.7005803707927
2.867252	0.009191	3.679704	5.102493e-011	-4.6895305346062
2.869785	0.00929	3.719432	-6.367105e-010	-4.6788167261564
2.872339	0.00939	3.759595	-1.977074e-011	-4.668109985762
2.874847	0.00949	3.799727	7.488297e-010	-4.6575166663603
2.877386	0.00959	3.839951	1.420492e-010	-4.6470343900868
2.879885	0.00969	3.880114	-5.659198e-010	-4.6366608530795
2.882376	0.00979	3.919663	-1.471875e-011	-4.6263938224397
2.88483	0.009889	3.96003	6.426635e-010	-4.6163322506943
2.887329	0.00999	3.999725	1.72389e-010	-4.6061706863217
2.889805	0.010091	4.039786	-6.4178e-010	-4.5961113414997
2.892248	0.01019	4.079345	4.960045e-010	-4.5863484317475
2.894701	0.010291	4.119608	2.735183e-010	-4.5764855521282
2.897108	0.01039	4.159939	4.555576e-010	-4.566911473871
2.89958	0.010491	4.199697	2.128414e-010	-4.5572375322328
2.901985	0.01059	4.239725	-6.16483e-010	-4.5478451193688
2.904396	0.010691	4.280329	4.151116e-010	-4.5383530129508
2.906767	0.01079	4.319816	3.291445e-010	-4.5291354997121
2.909159	0.010891	4.360045	-6.266029e-010	-4.5198185188886
2.91151	0.01099	4.400107	7.630955e-011	-4.5107695105666
2.913883	0.011091	4.440032	2.027277e-010	-4.5016213103595
