[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Current_2 (1)	logcurrent	opticalpower	wallplug
2.688013	0.026366	0.007027	-3.6356799776464	0.04747972972973	0.66993493525904
2.6924	0.027376	0.007312	-3.5980885618323	0.049405405405405	0.67029332296303
2.696615	0.02837	0.007593	-3.5624230301614	0.051304054054054	0.67061521529244
2.70072	0.02936	0.007872	-3.5281220752358	0.053189189189189	0.67079182039988
2.70484	0.03037	0.008157	-3.4942999999245	0.055114864864865	0.67093797674256
2.708788	0.031363	0.008436	-3.4621264248101	0.057	0.67093776984474
2.712717	0.032367	0.00872	-3.4306158937448	0.058918918918919	0.67103910986833
2.716528	0.033362	0.009	-3.4003377512503	0.060810810810811	0.67098765538816
2.720295	0.034356	0.009279	-3.3709786030782	0.062695945945946	0.67084295297337
2.724018	0.035362	0.009562	-3.3421174817262	0.064608108108108	0.67071841623117
2.727625	0.036359	0.009841	-3.3143135128013	0.066493243243243	0.67047242962383
2.731182	0.037348	0.010118	-3.2874759163605	0.068364864864865	0.67021627239777
2.73473	0.038361	0.0104	-3.260713960485	0.07027027027027	0.66983409421147
2.738171	0.039355	0.010676	-3.2351322473877	0.072135135135135	0.66940101488379
2.741613	0.040362	0.010957	-3.2098665307106	0.074033783783784	0.66903851135752
2.744959	0.041356	0.011234	-3.1855377652577	0.075905405405405	0.66864917867426
2.748272	0.042348	0.01151	-3.161834084501	0.07777027027027	0.66822233962996
2.751581	0.043361	0.011791	-3.1381948593861	0.079668918918919	0.66773990745976
2.754784	0.044354	0.012067	-3.1155523826363	0.081533783783784	0.66729405131983
2.757994	0.045364	0.012347	-3.0930364400291	0.083425675675676	0.66679920589287
2.761108	0.046358	0.012621	-3.0713614020797	0.085277027027027	0.66622966412769
2.764181	0.047348	0.012896	-3.0502306988905	0.087135135135135	0.66577148850171
2.767277	0.048359	0.013174	-3.0291029316958	0.089013513513514	0.66515980690254
2.770262	0.049356	0.013448	-3.0086959399458	0.090864864864865	0.66456151066319
2.773197	0.050346	0.013721	-2.9888361068661	0.092709459459459	0.66401571191587
2.776157	0.051356	0.013999	-2.9689735042533	0.094587837837838	0.66343760537057
2.77907	0.052348	0.014272	-2.9498415467889	0.096432432432432	0.6628626395032
2.782053	0.053357	0.01455	-2.9307501008443	0.098310810810811	0.66228432342977
2.784941	0.054354	0.014822	-2.9122370710669	0.10014864864865	0.66160318089378
2.787741	0.05535	0.015095	-2.8940786198275	0.10199324324324	0.6609998399749
2.790524	0.056359	0.015373	-2.8760133351893	0.10387162162162	0.66046205441179
2.793251	0.057355	0.015645	-2.8584952552489	0.10570945945946	0.6598308320805
2.796001	0.058369	0.015922	-2.8409703520016	0.10758108108108	0.65919867979871
2.798697	0.059365	0.016193	-2.8240504518644	0.10941216216216	0.6585355825244
2.801361	0.060359	0.016464	-2.8074452124828	0.11124324324324	0.65790400148188
2.804043	0.061367	0.016738	-2.7908830475954	0.11309459459459	0.65723742595769
2.806631	0.062364	0.017007	-2.7747670931678	0.11491216216216	0.65651811767155
2.809231	0.063358	0.017278	-2.7589540976307	0.11674324324324	0.65590787089561
2.811848	0.064373	0.017552	-2.743060988442	0.11859459459459	0.65519308520027
2.814432	0.065365	0.017822	-2.7277683319683	0.12041891891892	0.65457392078199
2.817011	0.066378	0.018094	-2.7123896027013	0.12225675675676	0.65382295629049
2.819536	0.067369	0.018362	-2.6975703075218	0.12406756756757	0.65316141724271
2.822086	0.068369	0.018632	-2.6828357734615	0.12589189189189	0.6524816286369
2.824654	0.06938	0.018905	-2.6681566374405	0.12773648648649	0.65180158672868
2.827299	0.070374	0.019171	-2.6539314022147	0.12953378378378	0.65102711264045
2.82996	0.071366	0.019438	-2.6399337135275	0.13133783783784	0.65030667189895
2.832933	0.072386	0.01971	-2.6257423684546	0.13317567567568	0.64943251266183
2.837526	0.073376	0.019978	-2.6121583723066	0.13498648648649	0.64833043690354
2.845104	0.07439	0.020248	-2.5984337547789	0.13681081081081	0.64640947226142
2.847666	0.075387	0.020513	-2.5851204326263	0.13860135135135	0.64562740048913
2.850128	0.076378	0.020779	-2.5720605823927	0.14039864864865	0.64495628762539
