[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	logcurrent
2.380648	3.511685e-005	-10.256829485703
2.38273	3.721797e-005	-10.198718848807
2.384811	3.944666e-005	-10.140561178388
2.386885	4.180134e-005	-10.082582161531
2.388952	4.42977e-005	-10.024577800997
2.391005	4.694115e-005	-9.9666158684806
2.393064	4.974865e-005	-9.9085272304062
2.395117	5.27275e-005	-9.8503734168866
2.397171	5.587766e-005	-9.7923458998997
2.399212	5.921339e-005	-9.7343628592173
2.401249	6.27504e-005	-9.6763456054707
2.40328	6.650414e-005	-9.6182463566012
2.405317	7.047761e-005	-9.5602154872405
2.407343	7.468429e-005	-9.5022407958416
2.409363	7.915215e-005	-9.4441386083928
2.411388	8.388059e-005	-9.3861163180974
2.413404	8.888878e-005	-9.3281246326333
2.415428	9.420876e-005	-9.269997387075
2.417423	9.982781e-005	-9.21206375615
2.419413	0.000106	-9.1520714638522
2.421412	0.000112	-9.0970116866692
2.423431	0.000119	-9.0363870648527
2.425434	0.000126	-8.9792286510128
2.427441	0.000133	-8.9251614297425
2.429441	0.000141	-8.8667506675861
2.431431	0.00015	-8.804875263868
2.433439	0.000159	-8.746606355744
2.435417	0.000168	-8.691546578561
2.437405	0.000178	-8.6337270076722
2.439409	0.000189	-8.5737635429046
2.441401	0.0002	-8.5171931914162
2.44339	0.000212	-8.4589242832923
2.445389	0.000225	-8.3994101557599
2.447378	0.000238	-8.3432398842928
2.449369	0.000253	-8.2821210692368
2.451365	0.000268	-8.2245235774534
2.453354	0.000284	-8.1665363198031
2.455347	0.000301	-8.1084002932154
2.457348	0.000319	-8.0503194551794
2.459339	0.000338	-7.9924646624813
2.461351	0.000358	-7.9349775715636
2.46335	0.000379	-7.8779743528818
2.465361	0.000402	-7.8190584693453
2.467371	0.000426	-7.7610712116949
2.469391	0.000451	-7.7040432184616
2.471405	0.000478	-7.6458998254728
2.473429	0.000507	-7.5869995543731
2.475464	0.000537	-7.5295124634554
2.477501	0.000569	-7.4716301238379
2.479549	0.000603	-7.4135933612371
2.48163	0.000639	-7.3556061035867
2.483711	0.000678	-7.2963632700239
2.485743	0.000718	-7.239040988916
2.487812	0.000761	-7.1808772001026
2.489901	0.000807	-7.1221868896943
2.491999	0.000855	-7.0644090890275
2.494106	0.000906	-7.0064712519213
2.496237	0.00096	-6.9485772735024
2.49836	0.001017	-6.8908981619157
2.500494	0.001077	-6.8335758808079
2.502653	0.001142	-6.7749741677483
2.504812	0.00121	-6.7171349193735
2.507	0.001282	-6.6593339204837
2.509214	0.001359	-6.6010061438131
2.511419	0.00144	-6.5431121653942
